Higher taxonomic group,Order,Family,Genus,species,data or source,chromosome number (female),chromosome number (male),c-value,"predicted ploidy (1n, 2n, 3n, 4n)","sexes not separate (hemaphroditic, monoecious, gynodioecious, androdioecious)","karyotype (ZO, ZW, XY, XO, WO, homomorphic, complex XY, complex ZW) ","genotypic  (male or female heterogametic, GSD, polygenic)","maternal/haplo-diploid (maternal, haplo-diploid)","environmental (TSD, TSD Ia, TSD II, size, density, pH, ESD_other)","polyfactorial (yes, no)","molecular basis (dosage, Y dominant, W dominant)",entry initials,"notes, comments",source: chromosome number (female),source: chromosome number (male),source: c-value,"source: predicted ploidy (1n, 2n, 3n, 4n)","source: sexes not separate (hemaphroditic, monoecious, gynodioecious, androdioecious)","source: karyotype (ZO, ZW, XY, XO, WO, homomorphic, complex XY, complex ZW) ","source: genotypic  (male or female heterogametic, GSD, polygenic)","source: maternal/haplo-diploid (maternal, haplo-diploid)","source: environmental (TSD, TSD Ia, TSD II, size, density, pH, ESD_other)","source: polyfactorial (yes, no)","source: molecular basis (dosage, Y dominant, W dominant)"
amphibia,Anura,Bombinatoridae,Bombina,bombina,data,24,24,12.4,2n,,,,,,,,NP,,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,,,,,,,
amphibia,Anura,Bombinatoridae,Bombina,orientalis,data,24,24,10.25,2n,,homomorphic,male heterogametic,,,,,NP,,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,,"Kawamura|T.|1977|Kawamura T, Nishioka M. 1977. In Taylor DH, Guttman DI The reproductive Biology of Amphibians, Plenum Pub. NY ","Kawamura|T.|1977|Kawamura T, Nishioka M. 1977. In Taylor DH, Guttman DI The reproductive Biology of Amphibians, Plenum Pub. NY ",,,,
amphibia,Anura,Bombinatoridae,Bombina,variegata,data,24,24,9.6,2n,,,,,,,,NP,,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,,,,,,,
amphibia,Anura,Bufonidae,Bufo,bufo,data,22,22,6.03,2n,,homomorphic,female heterogametic,,,,,NP,,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,,,Ponse|K.|1942|Ponse K. 1942. Rev. Suisse Zool. 49: 185-189,,,,
amphibia,Anura,Bufonidae,Bufo,calamita,data,22,22,4.13,,,homomorphic,,,,,,NP,,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,,,,,,,,
amphibia,Anura,Bufonidae,Bufo,gargarizans,data,,,,,,homomorphic,female heterogametic,,,,,NP,replication patterns,,,,,,"Changxiang|W.|1983|Changxiang W, Qun L, Wei X. 1983. Acta genetica Sinica 10: 291-297",,,,,
amphibia,Anura,Bufonidae,Bufo,marinus,data,22,22,4.01,,,homomorphic,female heterogametic,,,,,NP,Chromosome 7; NOR,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,,,"Abramyan|J.|1984|Abramyan J, Ezaz T, Marshall Graves JA et al. 2009. Chromos. Res. 17: 1015-1024","Abramyan|J.|1984|Abramyan J, Ezaz T, Marshall Graves JA et al. 2009. Chromos. Res. 17: 1015-1024",,,,
amphibia,Anura,Bufonidae,Bufo,melanostictus,data,22,22,,,,homomorphic,male heterogametic,,,,,NP,G-banding,"Siripiyasing|P.|2008|Siripyasing P, Chulalaksananukul W, Pariyanonth P. et al 2008. Cytologia 73: 229-241","Siripiyasing|P.|2008|Siripyasing P, Chulalaksananukul W, Pariyanonth P. et al 2008. Cytologia 73: 229-241",,,,"Siripiyasing|P.|2008|Siripyasing P, Chulalaksananukul W, Pariyanonth P. et al 2008. Cytologia 73: 229-241",,,,,
amphibia,Anura,Bufonidae,Bufo,raddei,data,,,,,,homomorphic,male heterogametic,,,,,NP,chromosome 6,,,,,,"Chongxin|D.|1984|Chongxin D, Kegang S. 1984. Acta genetica Sinica 11: 395-399","Chongxin|D.|1984|Chongxin D, Kegang S. 1984. Acta genetica Sinica 11: 395-399",,,,
amphibia,Anura,Bufonidae,Bufo,siculus,data,22,22,,,,homomorphic,male heterogametic,,,,,NP,,http://www.genomesize.com/,http://www.genomesize.com/,,,,,"Stцck|M.|2011|Stцck M, Croll D, Dumas Z et al. 2011 J Evol Biol. 24: 1064-1070",,,,
amphibia,Anura,Bufonidae,Bufo,viridis-2,data,44,44,12.03,4n,,homomorphic,,,,,,NP,,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,,,,,,,
amphibia,Anura,Bufonidae,Bufo,viridis-3,data,22,22,,,,heteromorphic,female heterogametic,,,,,NP,??,http://www.genomesize.com/,http://www.genomesize.com/,,,,"Odierna|G.|2007|Odierna G, Aprea G, Capriglione T et al 2007. J. Biosci. 32: 763-768","Odierna|G.|2007|Odierna G, Aprea G, Capriglione T et al 2007. J. Biosci. 32: 763-768",,,,
amphibia,Anura,Bufonidae,Bufo ,viridis-1,data,22,22,4.97,2n,,homomorphic,,,,,,NP,,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,,,,,,,
amphibia,Anura,Bufonidae,Chaunus,ssp,data,22,22,,,,homomorphic,,,,,,NP,,"Amaro-Ghilardi|R.|2008|Amaro-Ghilardi RC, de Jesus Silva MJ, Trefaut Rodrigues M et al 2008. Genetica 134: 159-168","Amaro-Ghilardi|R.|2008|Amaro-Ghilardi RC, de Jesus Silva MJ, Trefaut Rodrigues M et al 2008. Genetica 134: 159-168",,,,"Amaro-Ghilardi|R.|2008|Amaro-Ghilardi RC, de Jesus Silva MJ, Trefaut Rodrigues M et al 2008. Genetica 134: 159-168",,,,,
amphibia,Anura,Bufonidae,Melanophryniscus ,stelzneri,data,22,22,,,,homomorphic,,,,,,NP,,"Baraquet|M.|2011|Baraquet M, Valetti JA, Salas NE et al 2011 Biologia 66: 543-547","Baraquet|M.|2011|Baraquet M, Valetti JA, Salas NE et al 2011 Biologia 66: 543-547",,,,"Baraquet|M.|2011|Baraquet M, Valetti JA, Salas NE et al 2011 Biologia 66: 543-547",,,,,
amphibia,Anura,Bufonidae,Rhinella ,achalensis,data,22,22,,,,homomorphic,,,,,,NP,,"Baraquet|M.|2011|Baraquet M, Valetti JA, Salas NE et al 2011 Biologia 66: 543-547","Baraquet|M.|2011|Baraquet M, Valetti JA, Salas NE et al 2011 Biologia 66: 543-547",,,,"Baraquet|M.|2011|Baraquet M, Valetti JA, Salas NE et al 2011 Biologia 66: 543-547",,,,,
amphibia,Anura,Bufonidae,Rhinella ,arenarum,data,22,22,,,,homomorphic,,,,,,NP,,"Baraquet|M.|2011|Baraquet M, Valetti JA, Salas NE et al 2011 Biologia 66: 543-547","Baraquet|M.|2011|Baraquet M, Valetti JA, Salas NE et al 2011 Biologia 66: 543-547",,,,"Baraquet|M.|2011|Baraquet M, Valetti JA, Salas NE et al 2011 Biologia 66: 543-547",,,,,
amphibia,Anura,Bufonidae,Rhinella ,fernandezae,data,22,22,,,,homomorphic,,,,,,NP,,"Baraquet|M.|2011|Baraquet M, Valetti JA, Salas NE et al 2011 Biologia 66: 543-547","Baraquet|M.|2011|Baraquet M, Valetti JA, Salas NE et al 2011 Biologia 66: 543-547",,,,"Baraquet|M.|2011|Baraquet M, Valetti JA, Salas NE et al 2011 Biologia 66: 543-547",,,,,
amphibia,Anura,Bufonidae,Rhinella ,schneideri,data,22,22,,,,homomorphic,,,,,,NP,,"Baraquet|M.|2011|Baraquet M, Valetti JA, Salas NE et al 2011 Biologia 66: 543-547","Baraquet|M.|2011|Baraquet M, Valetti JA, Salas NE et al 2011 Biologia 66: 543-547",,,,"Baraquet|M.|2011|Baraquet M, Valetti JA, Salas NE et al 2011 Biologia 66: 543-547",,,,,
amphibia,Anura,Centronelidae,Centrolenella,anthistenesi,data,,,,,,XY,male heterogametic,,,,,NP,slight size difference,,,,,,"Schmid|M.|1989|Schmid M, Steinlein C, Feichtinger W. 1989. Chromosoma 97: 434-438","Schmid|M.|1989|Schmid M, Steinlein C, Feichtinger W. 1989. Chromosoma 97: 434-438",,,,
amphibia,Anura,Cycloramphidae,Proceratophrys  ,boiei,data,22,22,,,,ZW,female heterogametic,,,,,NP,,"Ananias|F.|2007|Ananias F, Modesto AD, Mendes SC et al. 2007. Hereditas 144: 206-212","Ananias|F.|2007|Ananias F, Modesto AD, Mendes SC et al. 2007. Hereditas 144: 206-212",,,,"Ananias|F.|2007|Ananias F, Modesto AD, Mendes SC et al. 2007. Hereditas 144: 206-212","Ananias|F.|2007|Ananias F, Modesto AD, Mendes SC et al. 2007. Hereditas 144: 206-212",,,,
amphibia,Anura,Dendrobatidae,Adelphobates,castaneoticus,data,18,18,,,,homomorphic,,,,,,NP,,"Rodrigues|P.C.|2011|Rodrigues PC, Aguiar O, Serpieri F et al 2011. J. Genet 90: 31-37","Rodrigues|P.C.|2011|Rodrigues PC, Aguiar O, Serpieri F et al 2011. J. Genet 90: 31-37",,,,,,,,,
amphibia,Anura,Dendrobatidae,Adelphobates,quinquevittatus,data,18,18,,,,homomorphic,,,,,,NP,,"Rodrigues|P.C.|2011|Rodrigues PC, Aguiar O, Serpieri F et al 2011. J. Genet 90: 31-37","Rodrigues|P.C.|2011|Rodrigues PC, Aguiar O, Serpieri F et al 2011. J. Genet 90: 31-37",,,,,,,,,
amphibia,Anura,Dendrobatidae,Alytes,obstetricans,data,38,38,9.78,,,homomorphic,,,,,,NP,,"Rodrigues|P.C.|2011|Rodrigues PC, Aguiar O, Serpieri F et al 2011. J. Genet 90: 31-37","Rodrigues|P.C.|2011|Rodrigues PC, Aguiar O, Serpieri F et al 2011. J. Genet 90: 31-37",http://www.genomesize.com/,,,,,,,,
amphibia,Anura,Dendrobatidae,Ameerega,picta,data,24,24,,,,homomorphic,,,,,,NP,,"Rodrigues|P.C.|2011|Rodrigues PC, Aguiar O, Serpieri F et al 2011. J. Genet 90: 31-37","Rodrigues|P.C.|2011|Rodrigues PC, Aguiar O, Serpieri F et al 2011. J. Genet 90: 31-37",,,,,,,,,
amphibia,Anura,Dendrobatidae,Ameerega,galactonotus,data,18,18,,,,homomorphic,,,,,,NP,,"Rodrigues|P.C.|2011|Rodrigues PC, Aguiar O, Serpieri F et al 2011. J. Genet 90: 31-37","Rodrigues|P.C.|2011|Rodrigues PC, Aguiar O, Serpieri F et al 2011. J. Genet 90: 31-37",,,,,,,,,
amphibia,Anura,Dendrobatidae,Dendrobates,tinctorius,data,18,18,,,,homomorphic,,,,,,NP,,"Rodrigues|P.C.|2011|Rodrigues PC, Aguiar O, Serpieri F et al 2011. J. Genet 90: 31-37","Rodrigues|P.C.|2011|Rodrigues PC, Aguiar O, Serpieri F et al 2011. J. Genet 90: 31-37",,,,,,,,,
amphibia,Anura,Dendrobatidae,Epipedobates,flavopictus,data,24,24,,,,homomorphic,,,,,,NP,,"Aguiar|O.|2002|Aguiar O, Lima AP, Giaretta AA et al 2002. Herpetology 58: 293-303","Aguiar|O.|2002|Aguiar O, Lima AP, Giaretta AA et al 2002. Herpetology 58: 293-303",,,,,,,,,
amphibia,Anura,Dendrobatidae,Epipedobates,femoralis,data,24,24,,,,homomorphic,,,,,,NP,,"Aguiar|O.|2002|Aguiar O, Lima AP, Giaretta AA et al 2002. Herpetology 58: 293-303","Aguiar|O.|2002|Aguiar O, Lima AP, Giaretta AA et al 2002. Herpetology 58: 293-303",,,,,,,,,
amphibia,Anura,Dendrobatidae,Epipedobates,hahneli,data,24,24,,,,homomorphic,,,,,,NP,,"Aguiar|O.|2002|Aguiar O, Lima AP, Giaretta AA et al 2002. Herpetology 58: 293-303","Aguiar|O.|2002|Aguiar O, Lima AP, Giaretta AA et al 2002. Herpetology 58: 293-303",,,,,,,,,
amphibia,Anura,Dendrobatidae,Epipedobates,trivittattus,data,24,24,,,,homomorphic,,,,,,NP,,"Aguiar|O.|2002|Aguiar O, Lima AP, Giaretta AA et al 2002. Herpetology 58: 293-303","Aguiar|O.|2002|Aguiar O, Lima AP, Giaretta AA et al 2002. Herpetology 58: 293-303",,,,,,,,,
amphibia,Anura,Discoglossidae,Discoglossus ,pictus,data,28,28,5.25,,,ZW,female heterogametic,,,,,NP,heteromorphy only in some populations,http://www.genomesize.com/,http://www.genomesize.com/,,,,Morescalchi|A.|1964|Morescalchi A. 1964. Caryologia 17: 327-345,Morescalchi|A.|1964|Morescalchi A. 1964. Caryologia 17: 327-345,,,,
amphibia,Anura,Hylidae,Aparasphenodon,brunoi,data,24,24,,,,homomorphic,,,,,,NP,,"Nunes|R.R.A.|2008|Nunes RRA, Fagundes V. 2008. Boletim Museu Biologia Mello Leitгo 23: 21-36","Nunes|R.R.A.|2008|Nunes RRA, Fagundes V. 2008. Boletim Museu Biologia Mello Leitгo 23: 21-36",,,,"Nunes|R.R.A.|2008|Nunes RRA, Fagundes V. 2008. Boletim Museu Biologia Mello Leitгo 23: 21-36",,,,,
amphibia,Anura,Hylidae,Gastrotheca,pseustes,data,,,,,,homomorphic,male heterogametic,,,,,NP,C-banding,,,,,,Schmid|M.|1989|Scmid M 1989. pp 37-56 in Wactel SS Evolutionary mechanisms of sex determination. CRC Press Boca Raton,Schmid|M.|1989|Scmid M 1989. pp 37-56 in Wactel SS Evolutionary mechanisms of sex determination. CRC Press Boca Raton,,,,
amphibia,Anura,Hylidae,Gastrotheca,riobambae,data,,,,,,XY,male heterogametic,,,,,NP,Y>X,,,,,,"Schmid|M.|1983|Schmid M,  Haaf T, Geile B, Sims S. 1983. Chromosoma 88: 69-82","Schmid|M.|1983|Schmid M,  Haaf T, Geile B, Sims S. 1983. Chromosoma 88: 69-82",,,,
amphibia,Anura,Hylidae,Gastrotheca ,ovifera,data,,,,,,homomorphic,male heterogametic,,,,,NP,,,,,,,"Schmid|M.|2002|Schmid M,  Feichtinger W, Steinlein C, et al. 2002. Cytogenet. Genome Res. 96: 228-238","Schmid|M.|2002|Schmid M,  Feichtinger W, Steinlein C, et al. 2002. Cytogenet. Genome Res. 96: 228-238",,,,
amphibia,Anura,Hylidae,Gastrotheca ,walkeri ,data,,,10.9,,,XY,male heterogametic,,,,,NP,Y<<X,,,"Schmid|M.|2002|Schmid M,  Feichtinger W, Steinlein C, et al. 2002. Cytogenet. Genome Res. 96: 228-238",,,"Schmid|M.|2002|Schmid M,  Feichtinger W, Steinlein C, et al. 2002. Cytogenet. Genome Res. 96: 228-238","Schmid|M.|2002|Schmid M,  Feichtinger W, Steinlein C, et al. 2002. Cytogenet. Genome Res. 96: 228-238",,,,
amphibia,Anura,Hylidae,Hyla,arborea,data,24,24,4.37,2n,,homomorphic,male heterogametic,,,,,NP,,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,,"Berset-Brдndli|L.|2006|Berset-Brдndli L, Jaquiйry J, Dubey S et al Mol. Biol. Evol. 23: 1104-1106","Berset-Brдndli|L.|2006|Berset-Brдndli L, Jaquiйry J, Dubey S et al Mol. Biol. Evol. 23: 1104-1106",,,,
amphibia,Anura,Hylidae,Hyla,femoralis,data,24,24,3.83,2n,,XY,male heterogametic,,,,,NP,NOR on the X,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,,"Schmid|M.|2003|Schmid M, Steinlein C. 2003. Cytogenet. Genome Res. 101: 74-79","Schmid|M.|2003|Schmid M, Steinlein C. 2003. Cytogenet. Genome Res. 101: 74-79",,,,
amphibia,Anura,Hylidae,Hyla,japonica,data,24,24,,2n,,homomorphic,male heterogametic,,,,,NP,,http://www.genomesize.com/,http://www.genomesize.com/,,http://www.genomesize.com/,,"Kawamura|T.|1977|Kawamura T, Nishioka M. 1977. In Taylor DH, Guttman DI The reproductive Biology of Amphibians, Plenum Pub. NY ","Kawamura|T.|1977|Kawamura T, Nishioka M. 1977. In Taylor DH, Guttman DI The reproductive Biology of Amphibians, Plenum Pub. NY ",,,,
amphibia,Anura,Hylidae,Hyla,savignyi,data,24,24,4.73,2n,,homomorphic,,,,,,NP,,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,,,,,,,
amphibia,Anura,Hylidae,Hyla,squirella,data,24,24,4.65,2n,,homomorphic,,,,,,NP,,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,,,,,,,
amphibia,Anura,Hylidae,Hyla,versicolor,data,48,48,10.3,4n,,homomorphic,,,,,,NP,,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,,,,,,,
amphibia,Anura,Hylidae,Hypsiboas ,polytaenius,data,24,24,,2n,,homomorphic,,,,,,NP,,"Nunes|R.R.A.|2008|Nunes RRA, Fagundes V. 2008. Boletim Museu Biologia Mello Leitгo 23: 21-36","Nunes|R.R.A.|2008|Nunes RRA, Fagundes V. 2008. Boletim Museu Biologia Mello Leitгo 23: 21-36",,http://www.genomesize.com/,,"Nunes|R.R.A.|2008|Nunes RRA, Fagundes V. 2008. Boletim Museu Biologia Mello Leitгo 23: 21-36",,,,,
amphibia,Anura,Hylidae,Itapotihyla, langsdorffii,data,24,24,,,,homomorphic,,,,,,NP,,"Nunes|R.R.A.|2008|Nunes RRA, Fagundes V. 2008. Boletim Museu Biologia Mello Leitгo 23: 21-36","Nunes|R.R.A.|2008|Nunes RRA, Fagundes V. 2008. Boletim Museu Biologia Mello Leitгo 23: 21-36",,,,"Nunes|R.R.A.|2008|Nunes RRA, Fagundes V. 2008. Boletim Museu Biologia Mello Leitгo 23: 21-36",,,,,
amphibia,Anura,Hylidae,Phasmahyla,exilis,data,26,26,,,,homomorphic,male heterogametic,,,,,NP,,"Nunes|R.R.A.|2008|Nunes RRA, Fagundes V. 2008. Boletim Museu Biologia Mello Leitгo 23: 21-36","Nunes|R.R.A.|2008|Nunes RRA, Fagundes V. 2008. Boletim Museu Biologia Mello Leitгo 23: 21-36",,,,"Nunes|R.R.A.|2008|Nunes RRA, Fagundes V. 2008. Boletim Museu Biologia Mello Leitгo 23: 21-36","Nunes|R.R.A.|2008|Nunes RRA, Fagundes V. 2008. Boletim Museu Biologia Mello Leitгo 23: 21-36",,,,
amphibia,Anura,Hylidae,Phyllomedusa ,rohdei ,data,40,40,,,,homomorphic,male heterogametic,,,,,NP,,"Nunes|R.R.A.|2008|Nunes RRA, Fagundes V. 2008. Boletim Museu Biologia Mello Leitгo 23: 21-36","Nunes|R.R.A.|2008|Nunes RRA, Fagundes V. 2008. Boletim Museu Biologia Mello Leitгo 23: 21-36",,,,"Nunes|R.R.A.|2008|Nunes RRA, Fagundes V. 2008. Boletim Museu Biologia Mello Leitгo 23: 21-36","Nunes|R.R.A.|2008|Nunes RRA, Fagundes V. 2008. Boletim Museu Biologia Mello Leitгo 23: 21-36",,,,
amphibia,Anura,Hylidae,Pseudis ,bolbodactyla,data,24,24,,2n,,homomorphic,,,,,,NP,,"Busin|C.S.|2008|Busin CS, Andrade GV, Bertoldo J. et al. 2008. Genetica 133: 119-127","Busin|C.S.|2008|Busin CS, Andrade GV, Bertoldo J. et al. 2008. Genetica 133: 119-127",,http://www.genomesize.com/,,"Busin|C.S.|2008|Busin CS, Andrade GV, Bertoldo J. et al. 2008. Genetica 133: 119-127",,,,,
amphibia,Anura,Hylidae,Pseudis ,fusca,data,24,24,,2n,,homomorphic,,,,,,NP,,"Busin|C.S.|2008|Busin CS, Andrade GV, Bertoldo J. et al. 2008. Genetica 133: 119-127","Busin|C.S.|2008|Busin CS, Andrade GV, Bertoldo J. et al. 2008. Genetica 133: 119-127",,http://www.genomesize.com/,,"Busin|C.S.|2008|Busin CS, Andrade GV, Bertoldo J. et al. 2008. Genetica 133: 119-127",,,,,
amphibia,Anura,Hylidae,Pseudis ,paradoxa,data,24,24,,2n,,homomorphic,,,,,,NP,,"Busin|C.S.|2008|Busin CS, Andrade GV, Bertoldo J. et al. 2008. Genetica 133: 119-127","Busin|C.S.|2008|Busin CS, Andrade GV, Bertoldo J. et al. 2008. Genetica 133: 119-127",,http://www.genomesize.com/,,"Busin|C.S.|2008|Busin CS, Andrade GV, Bertoldo J. et al. 2008. Genetica 133: 119-127",,,,,
amphibia,Anura,Hylidae,Pseudis ,tocantins,data,24,24,,2n,,ZW,female heterogametic,,,,,NP,W>Z,"Busin|C.S.|2008|Busin CS, Andrade GV, Bertoldo J. et al. 2008. Genetica 133: 119-127","Busin|C.S.|2008|Busin CS, Andrade GV, Bertoldo J. et al. 2008. Genetica 133: 119-127",,http://www.genomesize.com/,,"Busin|C.S.|2008|Busin CS, Andrade GV, Bertoldo J. et al. 2008. Genetica 133: 119-127","Busin|C.S.|2008|Busin CS, Andrade GV, Bertoldo J. et al. 2008. Genetica 133: 119-127",,,,
amphibia,Anura,Hylidae,Scinax,alter,data,24,24,,2n,,homomorphic,,,,,,NP,,"Nunes|R.R.A.|2008|Nunes RRA, Fagundes V. 2008. Boletim Museu Biologia Mello Leitгo 23: 21-36","Nunes|R.R.A.|2008|Nunes RRA, Fagundes V. 2008. Boletim Museu Biologia Mello Leitгo 23: 21-36",,http://www.genomesize.com/,,"Nunes|R.R.A.|2008|Nunes RRA, Fagundes V. 2008. Boletim Museu Biologia Mello Leitгo 23: 21-36",,,,,
amphibia,Anura,Hylidae,Scinax,argyreornatus,data,24,24,,2n,,homomorphic,,,,,,NP,,"Nunes|R.R.A.|2008|Nunes RRA, Fagundes V. 2008. Boletim Museu Biologia Mello Leitгo 23: 21-36","Nunes|R.R.A.|2008|Nunes RRA, Fagundes V. 2008. Boletim Museu Biologia Mello Leitгo 23: 21-36",,http://www.genomesize.com/,,"Nunes|R.R.A.|2008|Nunes RRA, Fagundes V. 2008. Boletim Museu Biologia Mello Leitгo 23: 21-36",,,,,
amphibia,Anura,Hylidae,Scinax,catharinae,data,24,24,,2n,,homomorphic,,,,,,NP,,http://www.genomesize.com/,http://www.genomesize.com/,,http://www.genomesize.com/,,"Cardozo|D.E.|2011|Cardozo DE, Leme DM, Bortoleto JF, et al 2011. Copeia 2011: 251-263",,,,,
amphibia,Anura,Hylidae,Scinax,ruber,data,24,24,2.79,2n,,homomorphic,,,,,,NP,,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,http://www.genomesize.com/,,"Cardozo|D.E.|2011|Cardozo DE, Leme DM, Bortoleto JF, et al 2011. Copeia 2011: 251-263",,,,,
amphibia,Anura,Hylidae,Smilisca,baudinii,data,24,24,,2n,,homomorphic,,,,,,NP,,"Hernandez-Guzman|J.|2011|Hernandez-Guzman J, Arias-Rodriguez L, Indy JR. 2011. Rev Biol Trop 59: 355-362","Hernandez-Guzman|J.|2011|Hernandez-Guzman J, Arias-Rodriguez L, Indy JR. 2011. Rev Biol Trop 59: 355-362",,http://www.genomesize.com/,,"Hernandez-Guzman|J.|2011|Hernandez-Guzman J, Arias-Rodriguez L, Indy JR. 2011. Rev Biol Trop 59: 355-362",,,,,
amphibia,Anura,Hyperoliidae,Hyperolius,viridiflavus,data,24,24,,,,homomorphic,male heterogametic,,,,,NP,,"de Almeida|C.G.|1990|de Almeida CG, Grafe TU, Guttenbach M. et al. 1990. Experientia 46:509-511.","de Almeida|C.G.|1990|de Almeida CG, Grafe TU, Guttenbach M. et al. 1990. Experientia 46:509-511.",,,,"de Almeida|C.G.|1990|de Almeida CG, Grafe TU, Guttenbach M. et al. 1990. Experientia 46:509-511.","de Almeida|C.G.|1990|de Almeida CG, Grafe TU, Guttenbach M. et al. 1990. Experientia 46:509-511.",,,,
amphibia,Anura,Leiopelmatidae,Leiopelma,archeyi,data,,,,,,ZW,female heterogametic,,,,,NP,,,,,,,Green|D.M.|2002|Green DM. 2002. Copeia 2002: 204-207,Green|D.M.|2002|Green DM. 2002. Copeia 2002: 204-207,,,,
amphibia,Anura,Leiopelmatidae,Leiopelma,hamiltoni,data,,,,,,homomorphic,female heterogametic,,,,,NP,C-banding,,,,,,Green|D.M.|1988|Green DM. 1988 J. Hered. 79: 165-169,Green|D.M.|1988|Green DM. 1988 J. Hered. 79: 165-169,,,,
amphibia,Anura,Leiopelmatidae,Leiopelma,hochstetteri,data,,,8.63,,,WO,female heterogametic,,,,,NP,B chromosomes,,,http://www.genomesize.com/,,,Green|D.M.|1988|Green DM.1988. Chromosoma 97: 55-70,Green|D.M.|1988|Green DM.1988. Chromosoma 97: 55-70,,,,
amphibia,Anura,Leiopelmatidae,Leiopelma,pakeka,data,,,,,,homomorphic,female heterogametic,,,,,NP,,,,,,,Green|D.M.|2002|Green DM. 2002. Copeia 2002: 204-207,Green|D.M.|2002|Green DM. 2002. Copeia 2002: 204-207,,,,
amphibia,Anura,Leptodactylidae,Crossodactylus,caramaschi,data,26,26,,,,,,,,,,NP,,"Aguiar|O.|2004|Aguiar O, Carvalho KA, Giaretta AA et al 2004. Genetica 121: 43-53","Aguiar|O.|2004|Aguiar O, Carvalho KA, Giaretta AA et al 2004. Genetica 121: 43-53",,,,,,,,,
amphibia,Anura,Leptodactylidae,Eleutherodactylus ,euphronides,data,32,32,,,,ZW,female heterogametic,,,,,NP,giant W,"Schmid|M.|2002|Schmid M, Feichtinger W, Steinlein C. et al. 2002. Cytogenet. Genome Res. 97: 81-94","Schmid|M.|2002|Schmid M, Feichtinger W, Steinlein C. et al. 2002. Cytogenet. Genome Res. 97: 81-94",,,,"Schmid|M.|2002|Schmid M, Feichtinger W, Steinlein C. et al. 2002. Cytogenet. Genome Res. 97: 81-94","Schmid|M.|2002|Schmid M, Feichtinger W, Steinlein C. et al. 2002. Cytogenet. Genome Res. 97: 81-94",,,,
amphibia,Anura,Leptodactylidae,Eleutherodactylus ,maussi,data,36,35,,,,homomorphic,male heterogametic,,,,,NP,"YA fusion, two Xs","Schmid|M.|1992|Schmid M,  Steinlein C, Feichtinger W. 1992. Chromosoma 101: 284-292","Schmid|M.|1992|Schmid M,  Steinlein C, Feichtinger W. 1992. Chromosoma 101: 284-292",,,,"Schmid|M.|2002|Schmid M, Feichtinger W, Steinlein C, Haaf M,  et al. 2002. Cytogenet Genome Res. 99: 330-343",,,,,
amphibia,Anura,Leptodactylidae,Eleutherodactylus ,riveroi,data,,,,,,homomorphic,male heterogametic,,,,,NP,,,,,,,"Schmid|M.|2003|Schmid M, Feichtinger W, Steinlein C, Visbal Garcia R,  et al. 2003. Cytogenet Genome Res. 101: 62-73",,,,,
amphibia,Anura,Leptodactylidae,Eleutherodactylus ,shrevei-1,data,32,32,1.7,2n,,ZW,female heterogametic,,,,,NP,giant W,"Schmid|M.|2002|Schmid M, Feichtinger W, Steinlein C. et al. 2002. Cytogenet. Genome Res. 97: 81-94","Schmid|M.|2002|Schmid M, Feichtinger W, Steinlein C. et al. 2002. Cytogenet. Genome Res. 97: 81-94","Schmid|M.|2002|Schmid M, Feichtinger W, Steinlein C. et al. 2002. Cytogenet. Genome Res. 97: 81-94",,,"Schmid|M.|2002|Schmid M, Feichtinger W, Steinlein C. et al. 2002. Cytogenet. Genome Res. 97: 81-94","Schmid|M.|2002|Schmid M, Feichtinger W, Steinlein C. et al. 2002. Cytogenet. Genome Res. 97: 81-94",,,,
