Higher taxonomic group,Order,Family,Genus,species,data or source,chromosome number (female),chromosome number (male),c-value,"predicted ploidy (1n, 2n, 3n, 4n)","sexes not separate (hemaphroditic, monoecious, gynodioecious, androdioecious)","karyotype (ZO, ZW, XY, XO, WO, homomorphic, complex XY, complex ZW) ","genotypic  (male or female heterogametic, GSD, polygenic)","maternal/haplo-diploid (maternal, haplo-diploid)","environmental (TSD, TSD Ia, TSD II, size, density, pH, ESD_other)","polyfactorial (yes, no)","molecular basis (dosage, Y dominant, W dominant)",entry initials,"notes, comments",source: chromosome number (female),source: chromosome number (male),source: c-value,"source: predicted ploidy (1n, 2n, 3n, 4n)","source: sexes not separate (hemaphroditic, monoecious, gynodioecious, androdioecious)","source: karyotype (ZO, ZW, XY, XO, WO, homomorphic, complex XY, complex ZW) ","source: genotypic  (male or female heterogametic, GSD, polygenic)","source: maternal/haplo-diploid (maternal, haplo-diploid)","source: environmental (TSD, TSD Ia, TSD II, size, density, pH, ESD_other)","source: polyfactorial (yes, no)","source: molecular basis (dosage, Y dominant, W dominant)"
Fish,Perciformes,gobiidae,Eviota,epiphanes,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,gobiidae,Eviota,fasciolatus,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,gobiidae,Fusigobius,neophytes,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,gobiidae,Gobiodon,citrinus,data,,,1.07,,,XO,male heterogametic,,,,,JEM,,,,http://www.genomesize.com,,,Chourrout|D|1986,Chourrout|D|1986,,,,
Fish,Perciformes,gobiidae,Gobiodon,quinquestriatus,data,44,44,1.12,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,http://www.genomesize.com,,Cole|K.S.|1990,,,,,,
Fish,Perciformes,gobiidae,Gobionellus,shufeldti,data,,,,,,homomorphic,male heterogametic,,,,,JEM," X1, Y1 Y2",,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,
Fish,Perciformes,gobiidae,Gobiosoma,multifasciatum,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Robertson|D.R.|1982,,,,,,
Fish,Perciformes,gobiidae,Gobius,bucchichi,data,40,40,0.46,,,homomorphic  ,male heterogametic,,,,,JEM,,http://www.genomesize.com,http://www.genomesize.com,http://www.genomesize.com,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,
Fish,Perciformes,gobiidae,Gobius,cobitis,data,46,46,0.66,,,homomorphic  ,male heterogametic,,,,,JEM,,http://www.genomesize.com,http://www.genomesize.com,http://www.genomesize.com,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,
fish,Perciformes,Gobiidae,Gobius,niger,data,50,50,1.01,,,XY,male heterogametic,,,,,JK,,http://www.genomesize.com,http://www.genomesize.com,http://www.genomesize.com,,,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,,,,
fish,Perciformes,Gobiidae,Gobius,paganellus,data,46,46,0.42,,,XY,male heterogametic,,,,,JK,,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,http://www.genomesize.com,,,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,,,,
Fish,Perciformes,gobiidae,Lophogobius,cyprinoides,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
